feature,coefficient,abs_coefficient
numeric__label_entropy,-3.428920074915315,3.428920074915315
numeric__query_entropy,2.654214177340912,2.654214177340912
numeric__query_type,2.0644525937369522,2.0644525937369522
numeric__digit_ratio,2.0508795830242765,2.0508795830242765
numeric__unique_chars,2.0497564784626645,2.0497564784626645
numeric__answer_count,-1.978883450969861,1.978883450969861
numeric__authoritative_flag,1.9366866519763495,1.9366866519763495
numeric__label_entropy_per_max_label,-1.8414243339606198,1.8414243339606198
numeric__retransmission_ratio,-1.8360323692401974,1.8360323692401974
numeric__entropy_per_query_char,-1.793080036393301,1.793080036393301
numeric__query_rate,-1.6414816028714956,1.6414816028714956
numeric__max_label_length,1.47677903978307,1.47677903978307
numeric__timestamp_dayofweek,-1.4120084868621667,1.4120084868621667
numeric__response_type,1.365654961184853,1.365654961184853
numeric__subdomain_count,1.2980994108522446,1.2980994108522446
numeric__digit_hex_mix,0.8069414980607855,0.8069414980607855
numeric__retransmission_payload_pressure,0.7137250232703294,0.7137250232703294
numeric__avg_message_size,0.713692191707257,0.713692191707257
numeric__payload_size,0.713692191707257,0.713692191707257
numeric__max_message_size,0.7016062071844978,0.7016062071844978
numeric__payload_to_response_ratio,-0.6401659435821729,0.6401659435821729
numeric__unique_domains,-0.6098779397124465,0.6098779397124465
numeric__hex_ratio,0.6021584702395367,0.6021584702395367
numeric__high_entropy_long_query,0.5764020096280041,0.5764020096280041
numeric__consonant_ratio,0.5276664204193813,0.5276664204193813
numeric__query_length,0.5248480975249208,0.5248480975249208
numeric__rcode,-0.5106061163799224,0.5106061163799224
numeric__response_length,0.5034313582486666,0.5034313582486666
numeric__message_size_spread,-0.4824645010342716,0.4824645010342716
numeric__nxdomain_flag,0.3833145911218403,0.3833145911218403
numeric__retransmission_count,-0.3790308255209661,0.3790308255209661
numeric__response_time,-0.37213816703450037,0.37213816703450037
numeric__is_recursive,0.33704046899688944,0.33704046899688944
numeric__ttl,-0.33125512302167925,0.33125512302167925
numeric__response_ratio,0.2809674689790485,0.2809674689790485
numeric__has_null_record,0.19076835423613658,0.19076835423613658
numeric__has_txt_record,-0.12072367459691738,0.12072367459691738
numeric__avg_label_length,0.08896484035664262,0.08896484035664262
numeric__payload_to_query_ratio,-0.07840971262610566,0.07840971262610566
numeric__response_to_query_ratio_len,-0.07808439360442526,0.07808439360442526
numeric__chars_per_label,0.05531738311571738,0.05531738311571738
numeric__query_rate_per_iat,-0.04266913089015948,0.04266913089015948
numeric__txt_or_null_record,-0.036139752140024246,0.036139752140024246
numeric__timestamp_hour,-0.028975061205315525,0.028975061205315525
numeric__inter_arrival_time,-0.005134604046166933,0.005134604046166933
numeric__tcp_flags,0.0,0.0
numeric__message_count,0.0,0.0
numeric__dns_length_field,0.0,0.0
numeric__tcp_stream_id,0.0,0.0
numeric__truncated_flag,0.0,0.0
numeric__dns_id,0.0,0.0
numeric__transport_code,0.0,0.0
numeric__additional_count,0.0,0.0
numeric__window_size,0.0,0.0
numeric__segment_count,0.0,0.0
numeric__tcp_payload_size,0.0,0.0
numeric__tcp_payload_to_dns_payload_ratio,0.0,0.0
numeric__segments_per_message,0.0,0.0
